stars,comment
4.0 out of 5 stars,"









  
  
    
  After my last shredder bit the dust, I started the unenviable task of looking for a new one.  I've had 5-6 shredders over the years, and while they have gotten better over time, I always end up paying quite a bit for a higher end personal shredder because I've had 2 cheaper ones early on that didn't last.  Even the better, more expensive ones, always struggled to shred the amount of pages they were rated for and had troubles keeping up (I batch shred, I don't have space to keep a shredder plugged in and ready all the time).I was happy to see that Amazon added some shredders to their Basics line.  The Basics line always seems to have great value and decent products.  I purchased this 8 sheet cross-cut shredder for less than half of what I believe I would have purchased a good 'name brand' model for.So far, it's been really good.  I like the simplicity of the shredder unit sitting on top of the waste can portion where the shredded bits go (I've been used to shredders with pull out shred bins that always made a mess and always got bits of paper crammed everywhere inside).  As with any shredder, I basically half the page rating and never put in more than half (in this case with a rating of 8, I never put in more than 4 layers), and it's been doing very well.

  
"
4.0 out of 5 stars,"









  
  
    
  I like this product as much as one can like a shredder. It works as advertised and was priced competitively. The one part of the machine I do not care too much for is the switch...as I tend to like to leave electric devices in the off position, I need to keep pushing the switch to off or on...a minor inconvenience, but an on/off switch would make this a better product. The switch now has all of the modes of operation in a row.

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder jammed after two weeks of occasional home use and no longer works. I was careful not to put more than 10 pages at a time, and I stopped whenever the light indicated it was overheated.  The paper became stuck in the blades and it will not work, either reverse or forward.  The bit is constructed such that you cannot take it apart.  As the instructions indicated for a severe jam, I tried to put shredder oil in the blades, waited 30 minutes and tried again.  Nothing.  I will be sending this back and buying a different brand.

  
"
5.0 out of 5 stars,"









  
  
    
  I have purchased several different items under the ""Amazon Basics"" branding,and have been impressed by the quality of the items for what you pay for them. This shredder is no different. Great quality at a very economical price! The shredder is listed as a 12 sheet, but I kept my paper feed to 8 sheets or less as most bank and credit card statements are in that range.The instructions state that you should give the shredder a 30 minute break after about 7 minutes of continuous run, but this little shredder kept going and going!I filled the 4 gallon bin over a dozen times in less than 3 hours (I was WAY behind on my shredding duties!), and this little workhorse did not overheat or jam once.FIVE STARS for this wonderful shredder!PROS:* Great price for a 12 sheet crosscut shredder* Very simple to use - sliding switch for OFF, FORWARD (continuous), REVERSE (continuous), and AUTO (runs as fed paper)* Indicator lights to show if shredder is on (green), full, misaligned, or overheated (red)* Auto shutoff if overheating to protect motor.* Quiet operationCONS:None that I can speak of!RECOMMENDATIONS FOR USERS:* Be kind to your shredder! If you are shredding heavy, stop at half basket intervals (or when you hear the shredder slowing down), unplug the shredder, lift the head off the basket, and clear the shredded paper. It keeps the shredder working at optimal speed.* I highly recommend that you also purchase the 'Amazon' branded 'lubricating / sharpening sheets'.. They are easy to use (just shred one after every 30 minutes of service, and then activate the 'reverse' function for 10 seconds). This will keep you shredder's blades sharp and lubricated and protect your investment.SUMMARY:I highly recommend this shredder. Amazon also offers a 6 or 8 sheet shredder, but I think the 12 sheet model is worth the extra $10-$15, especially if you are shredding stuff like credit card offers without even opening the envelope. I'm not sure that the 6 or 8 sheet models would handle that task as quickly, and when it comes to shredding, I just want to get it done without delays or jams.For anyone considering this shredder, I hope this information has been helpful! Peace.

  
"
3.0 out of 5 stars,"









  
  
    
  I purchased this immediately after returning Amazon's more basic version because I was afraid the documents weren't being destroyed enough. This unit certainly met me expectations for that. See photo for average shredded profile. Unfortunately the 'Auto' featured failed within a few weeks. And finally 3 years later the until will no longer operate. Light use, usually only 1-3 sheets at a time. Maybe once a month. My other complaint would be that the credit card slot is completely the wrong direction as it allowed the entire card number to but output when shredded given the direction and shredded profile. Works great for most documents and credit/debit cards if turned 90 degrees to separate all numbers.

  
"
3.0 out of 5 stars,"









  
  
    
  Will only give it 3 stars, since it arrived broken. The reason for breakage was that the little plastic  tab attached to the door and which activates the shredder had broken off. The shredder will not work without it and gives a message that the door is not closed, even when it is. For such an important function, they could have made this small plastic piece sturdier than it is.. Amazon replaced the shredder and the actual functioning of the machine is fine, but I am mindful of this thin plastic tab when I open and close the door. I also want to note that the shredder is heavy.

  
"
1.0 out of 5 stars,"









  
  
    
  SAYS it's made for home office,  I guess because if it was a commercial office it would cost to much labor to operate it.  SORRY BUT apparently Amazon basics means CHEAP JUNK.  The shredder  has a deep intake slot probably for safety. If it struggles, it reverses and jams the intake slot WHICH IS almost impossible to clear.  It says 12  sheets, I say caution at 10.  Not sure this one will survive the home office.  OK, my fault for ordering on line from Amazon.  This is the first thing I purchased that was branded Amazon, yes made in China... GRRRR  their return policy sucks or I would trade it for better.  If I return it for exchange I get the same junk again.  The freight for return for credit would eat up the price, its heavy.  DO NOT BUY.

  
"
1.0 out of 5 stars,"









  
  
    
  I order a lot from Amazon for convenience but it's a gamble.  If you receive something and it doesn't work, going to UPS, boxing and returning is a pain in the ass.  This item took in one envelope, maybe 4 pages in thickness and powered down and would start back up.

  
"
5.0 out of 5 stars,"









  
  
    
  I hesitated paying up for this shedder but after using it I'm convinced it was money well spent.  First off, the little things: It will run in auto mode - shove a paper in the slot and it sheds it. Or constant mode - turn it on and let it rip.  When shedding large projects this makes a huge difference and it is easier on the motor.  Then there is the window in the bin.  Lets you know exactly how full it is.  The bin seems small, but that's because this thing is fast.  I had a pile if documents that look taller than two reams of paper.  I had to empty the bin 5 times but I was done in less than 20 minutes.  Finally, it is very quiet.  Low motor noise so all you get to hear is the satisfying crunch of paper going through the knives.  I recommend this shredder highly.

  
"
1.0 out of 5 stars,"









  
  
    
  Zero stars if possible. Choked on the simplest of tasks and died.

  
"
1.0 out of 5 stars,"









  
  
    
  About a week ago my shredder would automatically turn on and stay on until I switched it off. I contacted Amazon Service and they said that because I had shredded address labels, that may have affected the sensor, which was now causing the shredder to automatically turn on. They also informed me that because I had shredded labels, I had automatically voided my warranty. Their only suggestion? Try cleaning the slot where you insert paper with alcohol. If that doesn't work then, you'll have to just manually turn it on/off when you want to use it. That's it. Prior to this shredder I owned a FELLOWS shredder which lasted 10+ years. Silly me for switching brands and assuming that Amazon would make a shredder that would  shred labels. The fact is I don't really know  if it's because of the labels I shredded or a defective sensor and thanks to Amazon, I'll never know. AND... I'll never buy another Amazon Basics item  ever again. Amazon... you just lost a loyal Amazon Prime customer. Shame on you!

  
"
2.0 out of 5 stars,"









  
  
    
  ... and those are about the only positive things I can say for it.The list shortcomings of this shredder are taller than the short squat can it comes with.  To start, I ran about 12 sheets of paper through it one at a time and the can was already about 1/2 full.  It wouldn't take a lot more pages before I'd have to empty it.  And then, there's the narrow, tiny, little feed slot.  Read the specification carefully.  It is only 0.2"" wider than a standard sheet of paper.  Plus, the feed isn't vertical.  You have to come in at a 45-degree angle to get the paper into the feed to activate it.  I really don't know how you could fit 12 sheets of paper in there at a time unless they were very neatly stacked and compressed together.  (I didn't try it, as I was leary of it jamming up.)It works as described, but not all that great.  I guess AmazonBasics is finally at the point where they've put the ""basic"" into the product instead of quality or usability.

  
"
1.0 out of 5 stars,"









  
  
    
  I do not recommend purchasing this shredder. I just purchased the shredder less than three weeks ago and after shredding less than 30 pieces of paper it has completely shut down and is non-functional. I was very excited to use the shredder for at least six months to year. The worst part is that I've attempted to return the shredder to Amazon for a replacement considering this may just be a lemon shredder. Amazon is stating that is outside the window for return which is shocking considering it is less than 2 to 3 weeks since I received it. Amazon usually is very good about returning or replacing dysfunctional faulty products. In this case scenario I have lost $40 for a useless product that I can't even return despite having had it for just less than three weeks. I usually expect way more than this from from an ""Amazon basic product"" which came with extremely high reviews from Amazon.DO NOT PURCHASE THIS SHREDDER.

  
"
1.0 out of 5 stars,"









  
  
    
  It does work but I am very disappointed with 2 things.1) It is very slow detecting paper that you insert !2) The shredder stops and tells you to empty it even when it is not completly full !Conclusion: Bad Chinese engineering on this shreeder !

  
"
1.0 out of 5 stars,"









  
  
    
  TL;DR: Spend a few more dollars for something more reliable.Bought Dec 2015 and only used roughly twice per month shredding a small amount of paper each time (receipts, letters with personal information, etc.), but started developing issues within a year where the motor would not stop. Every time time we'd ""fix"" it by using a cotton swap to clean around the sensor area, usually several rounds of cleaning at 5-15 mins total. We've lubricated the machine regularly with shredder oil, and always cleaned it on a regularly basis.After suffering the Stockholm Syndrome for over a year, I finally realized that I could've spent a bit more to buy a better shredder instead of putting up with this every few weeks. A shredder that's barely used should not develop problems this quickly, no matter how inexpensive it is.

  
"
1.0 out of 5 stars,"









  
  
    
  I originally ordered this product and received it January 26, 2018. I used it maybe five times, each time shredding no more than 2 pages at a time (even though it claims to be an 8-sheet shredder) over an extended period of time. The unit stopped working without cause on Feb. 13, 2018.I received a free replacement on Feb. 17, 2018, as it was within the 30 day warranty period. However, the replacement item was barely used between March and April and on April 27, 2018, it stopped working (same as the original unit).Given both the original unit and the replacement performed poorly and came no where near meeting my expectations, I do not recommend this product. If you're going to spend over $30 on a shredder, get something reliable that you won't have to replace every month!

  
"
1.0 out of 5 stars,"









  
  
    
  Shredder would not power on right out of the box and had to return.  Appears not to have been tested prior to shipping as there was no evidence of paper shreds or dust in the collection bin.  This is a very large heavy shredder and it was difficult to take to my local UPS store to ship back.  Customer service was great however and I received my refund immediately.  Ended up buying a new shredder locally.

  
"
5.0 out of 5 stars,"









  
  
    
  I purchased this shredder despite some bad reviews but the unit has proven to work quite well.  To be realistic, one cannot expect a shredder priced under $100 to be industry grade and be able to run non-stop for over 30 minutes without over heating.  For a normal house hold this works fine.  Obviously the user should not load more than 8 normal thickness of paper at one time (or less if the paper is extra thick).  I shredded a big pile of old paperwork, with intermittent pauses to look at the statements, and the unit did not over heat.  Slightly off center feeds were not a problem.. And the cross cut provides higher security than the strip cuts, although not quite as good as the micro cut.  But again, good enough for a normal household.Will update if performance changes over time.

  
"
1.0 out of 5 stars,"









  
  
    
  I have owned the product for less than 18 months.  I rarely use it. This morning I put 4 pieces of paper into it and before it was done shredding it, it stopped working and is no dead.  I would not recommend this product

  
"
5.0 out of 5 stars,"









  
  
    
  Product was exactly as discribed. I was a little worried after reading reviews of it over heating or not working at all. I thought I'd try it for the price, and my worries were immediately put to rest. I cleaned out my file cabinet. I apparently tossed an envelope that had a dime in it. It made a horrendous noise, and I immediately turned it off. I put it in reverse and out popped a dime. The dime was a little ate up, but the shredder still works perfectly. It went on to shred these two bags, and another almost full bag still in the canister. It also shredded several credit cards and IDs like it was nothing. I did almost 3 full canisters (periodically pushing down the shredded material) in one sitting. It did get a little warm, which is to be expected. It was by no means hot or anything I was remotely worried about. I also turn it off when it's not in use. There is a customer service number on the machine. Will update if I encounter any issues, though I doubt I will.

  
"
5.0 out of 5 stars,"









  
  
    
  I seem to get PILES of unwanted paper with my personal information on it, when Amazon first offered this well built cross shredder I jumped at the chance to get one, I couldn't be happier with my purchase , the cutting ""gears"" are not cast, but from plate steel and the motor is very stout, I want to say Thanks to Amazon for such a wonderful machine that works very well. If you need to keep personal information away from anyone who may be going through your trash, this is well built and solid , it also does credit cards very well also

  
"
1.0 out of 5 stars,"









  
  
    
  Have had this for seven months. Jams from time to time and can be unjammed by running back and forth in reverse and forward. However, for some reason I thought it was an 8 page shredder and never loaded more than 6 sheets at a time. After home use for seven months the plastic handle came off. It is held in place by 4 small screws that are screwed in holes in the plastic. It is what is used to take off the cover which holds all the weight of the motor and blades. If you have to take the cover apart to expose the innards there are about 6 screws to try to find including one that is hidden by a warning tag and 3 or 4 that are concealed in recessed holes. Worst of all is that Amazon Basics does not stock replacement for the plastic handle. Buy a different brand since repair parts are lacking from Amazon Basics. For the sake of some inappropriate cheap plastic used where a more heavy duty handle and better attachment method, Amazon Basics destroyed what could have been a fair product.

  
"
1.0 out of 5 stars,"









  
  
    
  Its getting more and more frustrating when Amazon ships out used or broken items. this has happened on items as high as 1500.00 im beginning to lose interest in making purchases from an shady source.

  
"
1.0 out of 5 stars,"









  
  
    
  Granted I've had this shredder for over 5 years and it's worked well with very limited use but, in my opinion, I believe it nearly caused my house to burn down! I just came home from being at work all day and when I walked in the house I immediately heard a very loud ""machine"" noise I did not recognize. Starting to panic as it got louder as I got closer to the source, I found this shredder in our home office running all by itself for no reason. There was nothing jammed in the feed slot that could have caused it to activate automatically. It had apparently been running for hours as it was nearly hot enough to melt the plastic the case was made of and smelled of a strong electrical burning smell. It sounded terrible, like the motor was about to seize up. I have used Amazon Basics products before and never had a problem, but I seriously doubt I will ever buy another electrical product by Amazon Basics. This thing was very dangerous.

  
"
5.0 out of 5 stars,"









  
  
    
  It does the job and does it fast! We own a notary business and print packets up to 200 pages each multiple times a day. When something goes awry with printing or an appointment get cancelled post printing, we have a lot of shredding to do to protect our client’s personal information. This shredder is fast, and can handle shredding two sets of 200 page packets without overheating or getting jammed when shredding up to 20 pages at a time. I have to empty the bin more often than I would like to, but so far, that’s my only complaint. Hands down one of my favorite, most therapeutic pieces of home office equipment

  
"
1.0 out of 5 stars,"









  
  
    
  This product barely lasted 4 months and already broke. Only use it once every 2 weeks. So a handful of uses and it broke. Too late to return it so a waste of money

  
"
1.0 out of 5 stars,"









  
  
    
  I just bought this shredder and was using it for the first time last night. DO NOT BUY THIS SHREDDER TO SHRED MAIL. It jams on ALL CREDIT CARD mailings. I found myself having to open every single one and picking and choosing what went in the shredder which was extremely time consuming. It stopped working today. I ordered the 15 sheet one for $100 with hopes it will do the job I expected the $60 one to do.

  
"
5.0 out of 5 stars,"









  
  
    
  The shredder does exactly what it says it will do and if you jam it, it's probably your own fault. This is great for destroying mail or personal information in moderation. This product would not work for politicians attempting to hide unscrupulous campaign finance histories.

  
"
1.0 out of 5 stars,"









  
  
    
  The only issue here is the sensor for the hopper keeps saying it is full. You have to jiggle it around to get the sensor to realize that the hopper is empty. I attempted to get warranty service. They responded that I had to correct my email address since it was purchased on a different email account. I did do this and responded to them that it was under my account. To date, now 3 weeks since I responded to them, I have heard no word. Good price. HORRIBLE customer service. The thing is worthless because the sensor thinks it is full all the time so I cannot use it. I haven't shredded anything for over 2 months now.They finally got back to me and refunded the money that I spent on this. I have purchased another brand.

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice product.  Used it extensively the first day and was very pleased with results.  Didn't overheat and handled 8 sheets with ease.

  
"
1.0 out of 5 stars,"









  
  
    
  When something says it will shred credit cards, I expect it to do as it claims.  It didn't.  Now it won't work.  I was going to return it, but the shipping alone is more expensive than what I paid for the shredder.  No thank you.  As far as the rating,  the shredder itself is sturdy, but I WILL NOT SHRED CREDIT CARDS.  VERY DISAPPOINTED.  In this day and time, that is one of the most important things to shred.

  
"
5.0 out of 5 stars,"









  
  
    
   This is a great machine at an even better price! It will only shred 6 pages at a time, so if you have a business where you need to shred a good amount each day-you might consider getting one of the 12-page shredders. I just went through a stack of documents about 2 inches thick and had to mash the shreds down. When I mashed them down it was only half full in the container. It comes with a small container. As you can see from the pictures, the entire shredder is about the same size as my computer tower. It fits under my desk very well. One of the things I really like about this is that I do not have to buy expensive oil for the machine. The instructions say I can just use vegetable oil once a month! I also like that it came with a flyer saying that the product had already been tested and might have some paper scraps left in it. I like that each unit is tested- lowers your chances of getting a lemon and having to go through the hassle to exchange it! I am impressed with the product and would gladly buy another if needed.

  
"
1.0 out of 5 stars,"









  
  
    
  I have now been through 3 of these shredders. Each one failed for the same reason: the reverse function was inoperative, both auto and manual. This third machine basically failed right out of the box! I was shredding only 12 sheets at a time. After 15 minutes the ""overload"" light came on, but the machine failed to auto-reverse. The manual reverse also failed to work, so there it was, with 12 sheets half in the slot and half still sticking out. Without the reverse function it is impossible to remove the unshredded sheets as they are firmly ""locked"" in the shredding teeth.This unit is rated for 24 sheets of 20 lb paper at a time, 40 minutes run time before 50 minutes ""rest.""  It could not handly even 12 sheets at a time for 15 minutes.I'm returning this for credit, as I have no faith that a 4th unit will work any better. As this is an ""Amazon Basics"" item, Amazon should have direct access to the manufacturers and should inform them that they can no longer carry this product.Kudos to Amazon's generous return policy!

  
"
5.0 out of 5 stars,"









  
  
    
  If I could give this six stars I would. What a great trouble free hard worker. I went though a lot of old documents, three large trash bags full. The beast never complained nor shut off! (There were breaks for my sorting.) It shredded plastic cards easily and the see through window is helpful. The wheels are nice as you can just role it to your work space. If this product is indicative of Amazon Basics, I will look there first in the future. Shipping was fast and the shredder came double boxed. Shipping trucks ""vary""  so double boxed  was a good thing as well! I notice some had a problem with the door. You don't want it to run with the door open clearly but, I had no problem with the door staying shut.

  
"
1.0 out of 5 stars,"









  
  
    
  Within the first couple of minutes of normal use, the machine started throwing a horrendous knocking noise as it shredded. I looked at the underside of the shredder head and saw a huge crack in the plastic, causing it to be deformed and hit the shredder blades. Either the machine completely split apart during normal use (that's bad) or it shipped with a large crack that opened up once the blades started moving (also bad).I'm returning it for a replacement, because I need a shredder, but I'd avoid this machine and the ""Amazon"" brand in the future if I were a smarter shopper.

  
"
4.0 out of 5 stars,"









  
  
    
  I wore out a Fellowes shredder after many years. This looked like a good deal for a cross-cut shredder and indeed it was. Works fine, as expected. Shreds into pretty much paper mush. I don't run more than three sheets at a time, though; that seems to be a reasonable upper limit. After a straight hour's shredding it never overheated.Can't complain one bit.

  
"
1.0 out of 5 stars,"









  
  
    
  I tested the shredder when it came. Then I left it off. Now, when I turn it on, the green light is on, but the shredder does not sense the paper that's placed in. No motion at all. Of course, I don't have the original box it came in. Can't return it.

  
"
5.0 out of 5 stars,"









  
  
    
  The Shredder is listed as a light/medium duty but I used it to shred a lot when I first used it. So far it has done a great job shredding. I've run two box loads of old documents (8 1/2"" x 11"" sheets of paper piled about 18"" high) thru the shredder. Enough to fill five 13 gallon trash bags of firmly compacted shreds. I never ran the eight max sheets but kept it to five of less. With thicker sheets, I just ran a single sheet thru. I also tried to avoid running staples thru even though it's OK to do so. The machine never jammed or overheated and turned itself off. I never ran it more than 3 minutes at a time anyways and would use it sporadically to not overheat it. The feed slot is at an angle but you get used to it quickly. The sensor is electronic, not a flimsy plastic tab sticking out triggered by a sheet of paper. To keep it oiled I just poured some mineral oil on a sheet of paper and ran it thru the cutters.The switch has a lot of side to side play but it does the job. It does have a decent click when seated in one of three positions. Auto, Off, or Reverse. The 4.1 gallon bin is a little soft and flimsy so handle it carefully. The window is nice to see how full the bin is getting. A little gentle shaking helps settle the shreds down as you go. The thinner the paper the better job it does crosscutting. Still it shreds enough for home use. The handle makes emptying the bin a lot easier.

  
"
4.0 out of 5 stars,"









  
  
    
  Bought this about 10 months ago, and it seemed to be working fine until it wouldn't even turn on. When I called the toll free customer service number conveniently provided on the top of the unit - guess what - it was fine - I just hadn't made sure the half moon shaped piece of plastic on the back of the unit was over the edge of the bucket. This meant that the safety cut-off switch wasn't disengaged, which meant the unit wouldn't work BECAUSE of SAFETY! LOL This was the first question the customer service rep asked me, so I'm not the only person who has called. So before you give this unit a bad review, check out that you're using it correctly!

  
"
1.0 out of 5 stars,"









  
  
    
  Less than a year it completely broke. The covers themselves broke around the screws.I get things break but less than a year isn't a good sign.I decided to get the 8 page version of this but have about a year before I review that one. Stay tuned!

  
"
2.0 out of 5 stars,"









  
  
    
  Forget 8 sheet... it has been jamming with 4 or 5... and will not take an unopened prepaid credit card offer, which in my opinion should be the standard.Largely 2 stars because once this thing gets jammed... it is almost impossible to unjam because of the plastic silver/white cover over the shred blades put there for your protection.... I had 5 pieces of paper end up getting pulled crooked and it jammed. The fragment of paper that caused the jam was positioned so you can't get to it from the top or the bottom, and the unit immediately refuses to operate, the ""Overheat"" light comes on which isn't really an overheat.. just means it has detected a jam and refuses to try to power through it because it might overheat. The only way to get to the blades to actually clear the jam would be to void the warranty by removing the last screw to open the top unit up.My suggestion is to skip a shredder... just throw it all on the Webber... fire never jams.

  
"
3.0 out of 5 stars,"









  
  
    
  I bought this specifically for preparing cardboard to be composted. The unit is powerful and has no problem shredding down cardboard boxes. My only complaint is that during normal operations the unit will frequently stop running and indicate that the bin is full when it is not. Tapping on the top of the machine causes it to resume shredding. I suspect there is a faulty connection or sensor causing the issue. I didn’t want to bother with returning it so I am just using it. If it stops working entirely I will take it apart and disable the bin full sensor. It is a powerful and relatively inexpensive shredder for cardboard that apparently has poor quality control.

  
"
5.0 out of 5 stars,"









  
  
    
   Reviewing the 12-sheet Amazon Basics paper shredder. In picture: small Aurora 4-sheet shredder (AS420C) and 7-gallon (15-inch-tall) recycling bin included for size reference. Black 12-sheet shredder is in the middle. This thing eats cardboard easily. Great shredder. Not too tall, not too small. The capacity is generous. A little bit too much for my needs, but I highly recommend it for anyone who has big piles of paper needing to be shredded. It's a little loud but not too bad, but it is super heavy. (But not necessarily heavier than the average 12-sheet shredder I assume, so don't let that steer you away) I'm going to stick with the 4-sheet Aurora shredder because even though it can't handle the thick Amazon-box cardboard like this 12-sheet shredder can, it's at least strong enough to cut through thin-style cardboard.

  
"
5.0 out of 5 stars,"









  
  
    
  Whether you’re a college student or a professional that needs something for the office, this shredder doesn’t disappoint. I really like the cross-cut feature because it utilizes more bin space. This means that it’ll be able to hold more shreds of paper. It’s powerful and reliable and I haven’t had any problems with it since. I use it quite often and have only had to empty it once (out of the 4 months I’ve had it for). Its compact size makes it perfect for storing in tight spaces. Amazon claims that it’ll keep shredding for around 3 minutes before overheating with the rest time estimated at 30 minutes. Sounds like a long time, but then again you can’t expect grade A performance on a budget shredder. I personally never ran into any overheating issues, but if you’re someone that does a lot of routine shredding and in large batches, then I’d suggest looking at a higher end model. Overall, it’s a quality product and definitely worth the investment given the price point and features.

  
"
4.0 out of 5 stars,"









  
  
    
  I bought this to replace one from a big box office supply store that failed after about 5 years.  This one is essentially exactly the same as my other one - same cross-cut, same footprint, same features, about the same price.  It does have one better design feature, the fact that the little handhold in the front, the hand-sized opening in the trashcan part allows you to easily see when it is filling up.  The ONLY reason I took one star off is because of what I'm assuming is a safety feature, which I just find annoying:  In my previous model, you could walk up to the shredder and just feed the paper right in, nothing special, in it went.  On this one, there is not a direct, vertical feed option - the feed area has a ""cover"" of sorts built into it that requires you to feed the paper in practically horizontal to the unit.  I'm absolutely certain this is on purpose, to prevent small fingers and such from getting dragged in.  But I find it a bit annoying.

  
"
5.0 out of 5 stars,"









  
  
    
  I had a hand-me-down paper shredder from my dad that was probably 20 years old, and the auto function, well, didn't function.I tend to accumulate a stack of mail and documents that need shredding then do it all in one go. With the old one, I had to let it run the entire time, so as far as I'm concerned, this thing is awesome.Mainly, the auto function functions. So on the occasions that I do just have one paper to get rid of, I can just process it without having to switch it on. It can handle a decent amount of papers too. I don't make a habit of this but I've just thrown entire envelopes into this thing and, you can hear it working but it chows through them without slowing down. It can also eat credit cards or similar plastics without an issue. It has a designated slot for cards but I'm not sure that it matters all that much.I like that it has a cross-cut function, just to make it extra difficult for dedicated trash-spies to tape together a discarded credit card offer or bank statement.It also has a reverse function, just in case you get halfway through a document and realize you still need the top half.An added benefit is the safety triggers, where if you pull the unit out of the container, it will cease to function until it is back in its place. Or at least the triggers are pressed.It's Amazon Basics and it is better than basic for me, so I'm thoroughly pleased with it, and I've had it for several months at this point. Not bad at $35 either.

  
"
5.0 out of 5 stars,"









  
  
    
  My husband and I finally hit the point of ""we can shred anything older than ______"". So we went through all our paperwork, Did some Marie Kondo on reorganizing the stuff we needed to keep. And ended up with 4 paper boxes that needed to be shredded. Realizing we would need a shredder long term going forwarded, we landed on this due to the great reviews and longevity others had mentioned.  I got this shredder on Tuesday and as of tonight (2 days later), this shredder has helped me finish 4 paper boxes into 4 garbage bags FULL.  We're talking about 5,000 pages of statements, bills, records, files, and stubs.  This thing is noisy, but it stops if it is tipped or not inserted to the can accurately, has a warning light if it gets too hot (only happened once in all my hours of shredding), can handle staples like a champ, and no papers got stuck.  Only downside - the can is small - but that wont be an issue for our daily/weekly shredding. It's only a big deal for this big project. VERY HAPPY!!!!

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder is advertised and sold as a cross shredder but I noticed it is not.  In fact, when I looked at the small shredded pieces I could see a good part of personal info like my name, account numbers etc.  All it does Is cut the papers into to small rectangular pieces. After doing research I see I should get a micro shredder. That too takes research.

  
"
4.0 out of 5 stars,"









  
  
    
  Very good value for this Amazon Basic cross cutter.  States 12 sheets of 20-lb bond paper tho that's chancing everyone knows the limits of that.  I've tried that but it's pushing it a bit considering you have 7-min max limit to then allow a cool down period of 30-min.  Granted most aren't going to be purging years, if so this isn't the right model.  Periodic as mail comes in or a weekly shredding is plenty good and make sure to get proper lubricant to keep it running sharp.  I'm a but lazy as I buy the prepped sheets with lubricant and sharpening properties.  I'd had liked outside bucket handles to carry both the shredder and bucket, but you can't have it all on a value model, tho having what's important is provided.  Read the instructions thoroughly before using is the best advice given.  I'm a fan and user of this product.  Thank you for reading.

  
"
5.0 out of 5 stars,"









  
  
    
  I just got the shredder, and have been using it almost all day. So far it hasn’t overheated, there isn’t a huge mess, and it shreds perfectly. I’ve had shutters before that didn’t cut the paper or items small enough, and I worried about someone digging through my trash and finding important information. I’m someone that works in the field that everything that I signed or has to do with a client needs to be shredded, as well as bills Social Security number, and any bank statements or items that have my information get shredded. I’ve had my bank Information taken before, and with the shredder I’m confident that it won’t happen again. Also it’s not extremely loud, which helps if you’re a pet owner

  
"
4.0 out of 5 stars,"









  
  
    
  I've been looking for a shredder for a while now since, while fun, burning documents isn't the most practical thing in the world. Luckily, I got this on sale.I was a little apprehensive after seeing reviews of it not working properly, but I wanted to give it a shot. So far, it's been working wonderfully. Even though it's listed as 8 sheets, I don't do more than 4-5 to play safe. It did start to show signs of overheating (I was getting rid of a LOT like old bank statements and theatre scripts i have no use for), so I let it cool down like the instructions stated.The main cons is that it did have chunks stuck after big passes, but I think that was because I was a little careless. And it's easy to clear out. It's also on the small side so you're going to empty it pretty frequently. But that's not a big issue.Overall, I recommend it.Update: A few months later and she's still working marvelously. One recommendation- don't insert big chunky spam mail as it doesn't destroy it entirely.

  
"
1.0 out of 5 stars,"









  
  
    
  So I decided I wanted to get a paper shredder, just to shred the junk mail I’ve been getting lately. I saw this, and the price was enticing and I figured 8-sheet was more than enough for the 3 or 4 letters I get a day. So after going through my mail, opening them up and all, I started shred them one by one. I got to the third letter when I started to smell like something was burning. So I stopped, and unplugged it. I was a little surprised by what happened, and decided I’ll deal with this later when I get home from work. Once I got home, I plugged it back in and stuck the last letter in. The burning smell came back almost immediately, and I saw smoke coming up from where I put in the letter. I immediately unplugged it, with the letter still visible in the slot.I contacted Amazon customer service, which the offered to send a replacement but I’m to wary about getting another one of the same model. Maybe I’ll invest in one that’s a little more powerful, perhaps 8-sheet wasn’t enough for junk mail. I want to make it clear, it’s not like I was shoving thick unopened letters in the shredder. I opened the letters, took out the contents, reviewed them, and then shredded the contents which a max is three pages. If I was shoving unopened letters, I would have put partial blame on myself. However, that’s not the case.I would maybe invest in one slightly stronger model, because 8-sheet just didn’t cut it for 3-sheets.

  
"
5.0 out of 5 stars,"









  
  
    
  Cross-cut is key and Amazon has made this product well, especially for a reasonable price. I consider this AmazonEssential not AmazonBasic. Every household should keep one of these for shredding bills and other sensitive information - these days you need to protest yourself against identity thieves that will go through trash.I've been using this for long enough to feel like it's DEFINITELY worth the money.ProsChews through day to day mail and sensitive information or expired cardsEasy to empty and re-lubricateConsThis is for light home use, it is not intended for bulk jobs in one long session (it's labeled appropriately, and lives up to description)That society necessitates having a shredder at all

  
"
